 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 71   | Gothitelle         |  0.49923% | 12783  |  2.272% | 6272   |  2.393% | 
 | 72   | Meowscarada        |  0.48393% | 5188   |  0.922% | 2420   |  0.923% | 
 | 73   | Weavile            |  0.47928% | 3554   |  0.632% | 1654   |  0.631% | 
 | 74   | Vivillon           |  0.44786% | 3711   |  0.660% | 1340   |  0.511% | 
 | 75   | Blaziken           |  0.43946% | 6060   |  1.077% | 2682   |  1.023% | 
 | 76   | Weezing            |  0.41450% | 4716   |  0.838% | 1916   |  0.731% | 
 | 77   | Dachsbun           |  0.40334% | 1725   |  0.307% | 975    |  0.372% | 
 | 78   | Clefairy           |  0.38204% | 3681   |  0.654% | 1320   |  0.504% | 
 | 79   | Sableye            |  0.35160% | 2659   |  0.473% | 1003   |  0.383% | 
 | 80   | Tsareena           |  0.34094% | 1526   |  0.271% | 616    |  0.235% | 
 | 81   | Greninja           |  0.33539% | 3306   |  0.588% | 1236   |  0.472% | 
 | 82   | Slaking            |  0.33511% | 3738   |  0.664% | 1845   |  0.704% | 
 | 83   | Chandelure         |  0.32670% | 2195   |  0.390% | 1018   |  0.388% | 
 | 84   | Malamar            |  0.31141% | 3500   |  0.622% | 1520   |  0.580% | 
 | 85   | Metagross          |  0.30494% | 2409   |  0.428% | 1057   |  0.403% | 
 | 86   | Milotic            |  0.28588% | 6215   |  1.105% | 2214   |  0.845% | 
 | 87   | Delphox            |  0.23788% | 4040   |  0.718% | 2015   |  0.769% | 
 | 88   | Mamoswine          |  0.23770% | 2624   |  0.466% | 1430   |  0.546% | 
 | 89   | Arcanine           |  0.21646% | 1499   |  0.266% | 647    |  0.247% | 
 | 90   | Kleavor            |  0.21340% | 2011   |  0.357% | 934    |  0.356% | 
 | 91   | Ceruledge          |  0.20786% | 4388   |  0.780% | 1963   |  0.749% | 
 | 92   | Yanmega            |  0.20576% | 1574   |  0.280% | 619    |  0.236% | 
 | 93   | Braviary           |  0.18034% | 812    |  0.144% | 228    |  0.087% | 
 | 94   | Gyarados           |  0.17654% | 5075   |  0.902% | 2022   |  0.772% | 
 | 95   | Decidueye-Hisui    |  0.15675% | 2968   |  0.527% | 1316   |  0.502% | 
 | 96   | Araquanid          |  0.15578% | 1833   |  0.326% | 739    |  0.282% | 
 | 97   | Gliscor            |  0.13450% | 2449   |  0.435% | 1002   |  0.382% | 
 | 98   | Exeggutor          |  0.13006% | 3599   |  0.640% | 1436   |  0.548% | 
 | 99   | Bronzong           |  0.12363% | 2815   |  0.500% | 1007   |  0.384% | 
 | 100  | Drifblim           |  0.11793% | 2386   |  0.424% | 929    |  0.354% | 
 | 101  | Gengar             |  0.11728% | 1818   |  0.323% | 808    |  0.308% | 
 | 102  | Pawmot             |  0.11691% | 3861   |  0.686% | 1881   |  0.718% | 
 | 103  | Squawkabilly       |  0.11669% | 119    |  0.021% | 46     |  0.018% | 
 | 104  | Abomasnow          |  0.10903% | 655    |  0.116% | 288    |  0.110% | 
 | 105  | Hippowdon          |  0.10891% | 461    |  0.082% | 244    |  0.093% | 
 | 106  | Oranguru           |  0.09654% | 1916   |  0.341% | 774    |  0.295% | 
 | 107  | Samurott-Hisui     |  0.09569% | 2834   |  0.504% | 1467   |  0.560% | 
 | 108  | Frosmoth           |  0.09448% | 2261   |  0.402% | 963    |  0.367% | 
 | 109  | Chesnaught         |  0.09121% | 1055   |  0.188% | 385    |  0.147% | 
 | 110  | Staraptor          |  0.09082% | 539    |  0.096% | 237    |  0.090% | 
 | 111  | Ninetales          |  0.08187% | 2330   |  0.414% | 1119   |  0.427% | 
 | 112  | Espeon             |  0.06999% | 1367   |  0.243% | 576    |  0.220% | 
 | 113  | Lycanroc           |  0.06867% | 896    |  0.159% | 405    |  0.155% | 
 | 114  | Scrafty            |  0.06604% | 1321   |  0.235% | 616    |  0.235% | 
 | 115  | Scizor             |  0.06108% | 1588   |  0.282% | 688    |  0.263% | 
 | 116  | Azumarill          |  0.06040% | 1537   |  0.273% | 615    |  0.235% | 
 | 117  | Poliwrath          |  0.05788% | 228    |  0.041% | 99     |  0.038% | 
