 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 320  | Nosepass           |  0.00003% | 16     |  0.003% | 8      |  0.003% | 
 | 321  | Dugtrio-Alola      |  0.00003% | 29     |  0.005% | 14     |  0.005% | 
 | 322  | Dusknoir           |  0.00002% | 90     |  0.016% | 41     |  0.016% | 
 | 323  | Qwilfish-Hisui     |  0.00002% | 58     |  0.010% | 21     |  0.008% | 
 | 324  | Goodra             |  0.00002% | 247    |  0.044% | 102    |  0.039% | 
 | 325  | Seel               |  0.00002% | 17     |  0.003% | 8      |  0.003% | 
 | 326  | Drowzee            |  0.00002% | 7      |  0.001% | 0      |  0.000% | 
 | 327  | Honchkrow          |  0.00002% | 146    |  0.026% | 66     |  0.025% | 
 | 328  | Chimecho           |  0.00002% | 29     |  0.005% | 21     |  0.008% | 
 | 329  | Brionne            |  0.00002% | 14     |  0.002% | 6      |  0.002% | 
 | 330  | Houndoom           |  0.00001% | 58     |  0.010% | 27     |  0.010% | 
 | 331  | Basculin           |  0.00001% | 54     |  0.010% | 24     |  0.009% | 
 | 332  | Decidueye          |  0.00001% | 50     |  0.009% | 18     |  0.007% | 
 | 333  | Dartrix            |  0.00001% | 6      |  0.001% | 2      |  0.001% | 
 | 334  | Golem              |  0.00001% | 7      |  0.001% | 4      |  0.002% | 
 | 335  | Lumineon           |  0.00001% | 69     |  0.012% | 32     |  0.012% | 
 | 336  | Eiscue             |  0.00001% | 31     |  0.006% | 12     |  0.005% | 
 | 337  | Haunter            |  0.00001% | 100    |  0.018% | 35     |  0.013% | 
 | 338  | Avalugg-Hisui      |  0.00001% | 62     |  0.011% | 29     |  0.011% | 
 | 339  | Forretress         |  0.00001% | 71     |  0.013% | 25     |  0.010% | 
 | 340  | Foongus            |  0.00001% | 17     |  0.003% | 4      |  0.002% | 
 | 341  | Cubchoo            |  0.00001% | 3      |  0.001% | 2      |  0.001% | 
 | 342  | Dedenne            |  0.00001% | 28     |  0.005% | 10     |  0.004% | 
 | 343  | Vespiquen          |  0.00001% | 18     |  0.003% | 7      |  0.003% | 
 | 344  | Donphan            |  0.00001% | 11     |  0.002% | 7      |  0.003% | 
 | 345  | Trumbeak           |  0.00001% | 6      |  0.001% | 4      |  0.002% | 
 | 346  | Dunsparce          |  0.00001% | 57     |  0.010% | 28     |  0.011% | 
 | 347  | Cramorant          |  0.00001% | 58     |  0.010% | 23     |  0.009% | 
 | 348  | Chansey            |  0.00001% | 23     |  0.004% | 10     |  0.004% | 
 | 349  | Flareon            |  0.00001% | 36     |  0.006% | 11     |  0.004% | 
 | 350  | Zangoose           |  0.00001% | 20     |  0.004% | 5      |  0.002% | 
 | 351  | Hitmonlee          |  0.00000% | 13     |  0.002% | 3      |  0.001% | 
 | 352  | Vaporeon           |  0.00000% | 163    |  0.029% | 89     |  0.034% | 
 | 353  | Wugtrio            |  0.00000% | 32     |  0.006% | 12     |  0.005% | 
 | 354  | Poltchageist       |  0.00000% | 7      |  0.001% | 1      |  0.000% | 
 | 355  | Magcargo           |  0.00000% | 30     |  0.005% | 17     |  0.006% | 
 | 356  | Arbok              |  0.00000% | 45     |  0.008% | 14     |  0.005% | 
 | 357  | Flygon             |  0.00000% | 111    |  0.020% | 46     |  0.018% | 
 | 358  | Cetoddle           |  0.00000% | 21     |  0.004% | 2      |  0.001% | 
 | 359  | Falinks            |  0.00000% | 64     |  0.011% | 26     |  0.010% | 
 | 360  | Gothorita          |  0.00000% | 53     |  0.009% | 23     |  0.009% | 
 | 361  | Meganium           |  0.00000% | 41     |  0.007% | 13     |  0.005% | 
 | 362  | Slowpoke-Galar     |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 363  | Bronzor            |  0.00000% | 3      |  0.001% | 0      |  0.000% | 
 | 364  | Rotom-Fan          |  0.00000% | 71     |  0.013% | 30     |  0.011% | 
 | 365  | Pyroar             |  0.00000% | 11     |  0.002% | 6      |  0.002% | 
 | 366  | Girafarig          |  0.00000% | 2      |  0.000% | 1      |  0.000% | 
 | 367  | Ampharos           |  0.00000% | 90     |  0.016% | 34     |  0.013% | 
 | 368  | Quagsire           |  0.00000% | 19     |  0.003% | 6      |  0.002% | 
 | 369  | Victreebel         |  0.00000% | 15     |  0.003% | 6      |  0.002% | 
 | 370  | Sentret            |  0.00000% | 6      |  0.001% | 2      |  0.001% | 
 | 371  | Oinkologne-F       |  0.00000% | 4      |  0.001% | 2      |  0.001% | 
 | 372  | Morgrem            |  0.00000% | 20     |  0.004% | 1      |  0.000% | 
 | 373  | Granbull           |  0.00000% | 31     |  0.006% | 8      |  0.003% | 
 | 374  | Gimmighoul         |  0.00000% | 5      |  0.001% | 3      |  0.001% | 
 | 375  | Vulpix             |  0.00000% | 4      |  0.001% | 0      |  0.000% | 
 | 376  | Trapinch           |  0.00000% | 29     |  0.005% | 11     |  0.004% | 
 | 377  | Oinkologne         |  0.00000% | 14     |  0.002% | 2      |  0.001% | 
 | 378  | Sawsbuck           |  0.00000% | 93     |  0.017% | 37     |  0.014% | 
 | 379  | Masquerain         |  0.00000% | 61     |  0.011% | 31     |  0.012% | 
 | 380  | Psyduck            |  0.00000% | 21     |  0.004% | 6      |  0.002% | 
 | 381  | Gloom              |  0.00000% | 48     |  0.009% | 16     |  0.006% | 
 | 382  | Bellossom          |  0.00000% | 24     |  0.004% | 11     |  0.004% | 
 | 383  | Rotom              |  0.00000% | 8      |  0.001% | 2      |  0.001% | 
 | 384  | Spidops            |  0.00000% | 4      |  0.001% | 0      |  0.000% | 
 | 385  | Sudowoodo          |  0.00000% | 14     |  0.002% | 5      |  0.002% | 
 | 386  | Thwackey           |  0.00000% | 109    |  0.019% | 40     |  0.015% | 
 | 387  | Gurdurr            |  0.00000% | 8      |  0.001% | 4      |  0.002% | 
 | 388  | Persian            |  0.00000% | 29     |  0.005% | 4      |  0.002% | 
 | 389  | Cacturne           |  0.00000% | 41     |  0.007% | 16     |  0.006% | 
 | 390  | Swalot             |  0.00000% | 30     |  0.005% | 16     |  0.006% | 
 | 391  | Vigoroth           |  0.00000% | 15     |  0.003% | 5      |  0.002% | 
 | 392  | Salandit           |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 393  | Graveler-Alola     |  0.00000% | 6      |  0.001% | 1      |  0.000% | 
 | 394  | Tropius            |  0.00000% | 30     |  0.005% | 15     |  0.006% | 
 | 395  | Vileplume          |  0.00000% | 69     |  0.012% | 27     |  0.010% | 
 | 396  | Duosion            |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 397  | Lycanroc-Midnight  |  0.00000% | 60     |  0.011% | 36     |  0.014% | 
 | 398  | Meowth-Galar       |  0.00000% | 4      |  0.001% | 0      |  0.000% | 
 | 399  | Copperajah         |  0.00000% | 100    |  0.018% | 42     |  0.016% | 
 | 400  | Numel              |  0.00000% | 9      |  0.002% | 4      |  0.002% | 
 | 401  | Muk                |  0.00000% | 11     |  0.002% | 2      |  0.001% | 
 | 402  | Sandslash          |  0.00000% | 34     |  0.006% | 17     |  0.006% | 
 | 403  | Fletchling         |  0.00000% | 3      |  0.001% | 0      |  0.000% | 
 | 404  | Whiscash           |  0.00000% | 4      |  0.001% | 2      |  0.001% | 
 | 405  | Zorua              |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 406  | Komala             |  0.00000% | 13     |  0.002% | 6      |  0.002% | 
 | 407  | Gligar             |  0.00000% | 25     |  0.004% | 11     |  0.004% | 
 | 408  | Crocalor           |  0.00000% | 31     |  0.006% | 12     |  0.005% | 
 | 409  | Hoothoot           |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 410  | Kricketune         |  0.00000% | 6      |  0.001% | 0      |  0.000% | 
 | 411  | Totodile           |  0.00000% | 3      |  0.001% | 0      |  0.000% | 
 | 412  | Qwilfish           |  0.00000% | 4      |  0.001% | 2      |  0.001% | 
 | 413  | Treecko            |  0.00000% | 2      |  0.000% | 1      |  0.000% | 
 | 414  | Morpeko            |  0.00000% | 284    |  0.050% | 133    |  0.051% | 
 | 415  | Klawf              |  0.00000% | 11     |  0.002% | 4      |  0.002% | 
 | 416  | Tauros             |  0.00000% | 14     |  0.002% | 10     |  0.004% | 
 | 417  | Carkol             |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 418  | Luxio              |  0.00000% | 2      |  0.000% | 1      |  0.000% | 
 | 419  | Ursaring           |  0.00000% | 8      |  0.001% | 4      |  0.002% | 
 | 420  | Mightyena          |  0.00000% | 19     |  0.003% | 6      |  0.002% | 
 | 421  | Rowlet             |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 422  | Swablu             |  0.00000% | 6      |  0.001% | 1      |  0.000% | 
 | 423  | Snorunt            |  0.00000% | 1      |  0.000% | 1      |  0.000% | 
 | 424  | Eelektrik          |  0.00000% | 4      |  0.001% | 3      |  0.001% | 
 | 425  | Shroomish          |  0.00000% | 1      |  0.000% | 1      |  0.000% | 
 | 426  | Joltik             |  0.00000% | 2      |  0.000% | 1      |  0.000% | 
 | 427  | Veluza             |  0.00000% | 13     |  0.002% | 2      |  0.001% | 
 | 428  | Piloswine          |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 429  | Bellsprout         |  0.00000% | 2      |  0.000% | 0      |  0.000% | 
 | 430  | Mienfoo            |  0.00000% | 4      |  0.001% | 3      |  0.001% | 
 | 431  | Luvdisc            |  0.00000% | 19     |  0.003% | 7      |  0.003% | 
 | 432  | Gulpin             |  0.00000% | 5      |  0.001% | 1      |  0.000% | 
 | 433  | Oricorio-Pa'u      |  0.00000% | 6      |  0.001% | 2      |  0.001% | 
 | 434  | Leavanny           |  0.00000% | 17     |  0.003% | 7      |  0.003% | 
 | 435  | Toedscool          |  0.00000% | 42     |  0.007% | 15     |  0.006% | 
 | 436  | Meditite           |  0.00000% | 18     |  0.003% | 6      |  0.002% | 
 | 437  | Arctibax           |  0.00000% | 1      |  0.000% | 1      |  0.000% | 
 | 438  | Dragonair          |  0.00000% | 9      |  0.002% | 2      |  0.001% | 
 | 439  | Croagunk           |  0.00000% | 5      |  0.001% | 0      |  0.000% | 
 | 440  | Seviper            |  0.00000% | 6      |  0.001% | 1      |  0.000% | 
 | 441  | Skuntank           |  0.00000% | 4      |  0.001% | 0      |  0.000% | 
 | 442  | Porygon            |  0.00000% | 2      |  0.000% | 0      |  0.000% | 
 | 443  | Samurott           |  0.00000% | 10     |  0.002% | 3      |  0.001% | 
 | 444  | Skiploom           |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 445  | Eevee              |  0.00000% | 4      |  0.001% | 2      |  0.001% | 
 | 446  | Prinplup           |  0.00000% | 1      |  0.000% | 1      |  0.000% | 
 | 447  | Servine            |  0.00000% | 2      |  0.000% | 0      |  0.000% | 
 | 448  | Chikorita          |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 449  | Naclstack          |  0.00000% | 3      |  0.001% | 2      |  0.001% | 
 | 450  | Floette            |  0.00000% | 2      |  0.000% | 1      |  0.000% | 
 | 451  | Noctowl            |  0.00000% | 3      |  0.001% | 1      |  0.000% | 
 | 452  | Gastly             |  0.00000% | 1      |  0.000% | 1      |  0.000% | 
 | 453  | Snover             |  0.00000% | 6      |  0.001% | 3      |  0.001% | 
 | 454  | Minun              |  0.00000% | 2      |  0.000% | 2      |  0.001% | 
 | 455  | Happiny            |  0.00000% | 2      |  0.000% | 2      |  0.001% | 
 | 456  | Tauros-Paldea-Combat |  0.00000% | 12     |  0.002% | 7      |  0.003% | 
 | 457  | Timburr            |  0.00000% | 1      |  0.000% | 1      |  0.000% | 
 | 458  | Combusken          |  0.00000% | 4      |  0.001% | 1      |  0.000% | 
 | 459  | Poliwhirl          |  0.00000% | 3      |  0.001% | 1      |  0.000% | 
 | 460  | Chinchou           |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 461  | Pawniard           |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 462  | Tandemaus          |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
 | 463  | Torchic            |  0.00000% | 2      |  0.000% | 0      |  0.000% | 
 | 464  | Fletchinder        |  0.00000% | 1      |  0.000% | 0      |  0.000% | 
