Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/003c9f244885b8f8,garchomp,talonflame,annihilape,vivillon,ninetales-alola,gholdengo
2,325,https://pokepast.es/115e6e765bc6238e,garchomp,whimsicott,annihilape,clefable,hydreigon,gholdengo
3,300,https://pokepast.es/dbc5dd253dfa54ac,incineroar,porygon2,flamigo,ursaluna,amoonguss,gholdengo
4,300,https://pokepast.es/c7fc44f3ef025050,garchomp,talonflame,annihilape,vivillon,ninetales-alola,gholdengo
5,280,https://pokepast.es/49c3b209c01f4edc,rillaboom,primarina,zoroark-hisui,electabuzz,sneasler,kingambit
6,280,https://pokepast.es/e8e5ce21ea1bdc60,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
7,280,https://pokepast.es/f0e9b36cab72228b,torkoal,annihilape,zoroark-hisui,armarouge,indeedee-female,farigiraf
8,280,https://pokepast.es/f9e1fb38a90ecf1c,incineroar,garchomp,dragonite,annihilape,ninetales-alola,amoonguss
