Rank,CP,Pokepaste,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
1,350,https://pokepast.es/13c946c994d65384,incineroar,rillaboom,volcarona,electabuzz,sneasler,kingambit
2,325,https://pokepast.es/8bd141b188ab3feb,rillaboom,chandelure,primarina,amoonguss,sneasler,kingambit
3,300,https://pokepast.es/f660589b0efd5288,primarina,tyranitar,excadrill,braviary-hisui,reuniclus,indeedee-female
4,300,https://pokepast.es/2cae6d22383ba4c0,rillaboom,primarina,magmar,sneasler,dragapult,kingambit
5,280,https://pokepast.es/89c7de2fea6e4303,maushold-family-of-four,murkrow,delphox,indeedee-male,sneasler,dragapult
6,280,https://pokepast.es/0616b1e2f025448d,murkrow,sneasler,dragapult,gholdengo,ursaluna-bloodmoon,farigiraf
7,280,https://pokepast.es/110b098482ad2e82,corviknight,tyranitar,excadrill,indeedee-male,whimsicott,kommo-o
8,280,https://pokepast.es/5eeb34cf7830980c,incineroar,garchomp,porygon2,amoonguss,sneasler,gholdengo
10,160,https://pokepast.es/739add7d47379d17,primarina,decidueye-hisui,meowscarada,sneasler,indeedee,sylveon
